area_wk;tarefa_WK;descritivo;analista;data_aloc;inicio_wk;fim_wk;comp_est;comp_real;tempo_est_h;prazo_est;prazo_real;crit_aloc;resum_exec;data_envio;data_aval;retorno;status;xp_creditada;score_ahp_escolhido;aprendizado_norm_escolhido;especializacao_norm_escolhido;workload_norm_escolhido;contrib_aprendizagem_escolhido;contrib_especializacao_escolhido;contrib_workload_escolhido
Societário;Acordo de Sócios / Acionistas;;Jacó;2026-01-06 09:00:00;2026-01-12 11:00:00.000000000;2026-01-13 11:00:00.000000000;3,0;;8,0;2026-01-13 11:00:00.000000000;;AHP_APRENDIZAGEM_ESPECIALIZACAO_WORKLOAD;;;;;CONCLUIDA;True;0,8938317610369585;1,0;1,0;0,3202265911362879;0,6586441863669917;0,1851740071976712;0,05001356747229555
Contratos;Outros tipos contratuais;;Abel;2026-01-06 09:01:00;2026-01-06 09:01:00.000000000;2026-01-07 09:00:59.999999999;3,0;;8,0;2026-01-07 09:00:59.999999999;;AHP_APRENDIZAGEM_ESPECIALIZACAO_WORKLOAD;;;;;CONCLUIDA;True;0,9653179730822453;0,9592269511575319;0,9577311337824523;1,0;0,6317892547864427;0,1773469118604656;0,1561818064353371
Direito financeiro;Revisão de documentos de disclosure;;Caim;2026-01-06 09:02:00;2026-01-07 11:00:59.999999999;2026-01-08 11:01:00.000000000;3,0;;8,0;2026-01-08 11:01:00.000000000;;AHP_APRENDIZAGEM_ESPECIALIZACAO_WORKLOAD;;;;;CONCLUIDA;True;0,968805301082973;1,0;1,0;0,8002667555907524;0,6586441863669917;0,1851740071976712;0,12498710751831013
Contratos;Contrato de prestação de serviços;;Abel;2026-01-06 09:03:00;2026-01-07 09:00:59.999999999;2026-01-08 09:00:59.999999999;3,0;;8,0;2026-01-08 09:00:59.999999999;;AHP_APRENDIZAGEM_ESPECIALIZACAO_WORKLOAD;;;;;CONCLUIDA;True;0,9404164042118357;0,9592269511575319;0,9577311337824523;0,8405603735879476;0,6317892547864427;0,1773469118604656;0,13128023756492746
Concorrencial;Programa de Compliance Concorrencial;;Caim;2026-01-06 09:04:00;2026-01-08 11:01:00.000000000;2026-01-09 11:01:00.000000000;3,0;;8,0;2026-01-09 11:01:00.000000000;;AHP_APRENDIZAGEM_ESPECIALIZACAO_WORKLOAD;;;;;CONCLUIDA;True;0,9438746060966784;1,0;1,0;0,6406406406462017;0,6586441863669917;0,1851740071976712;0,10005641253201544
Direito digital;Apoio jurídico ao Encarregado/DPO;;Isaque;2026-01-06 09:05:00;2026-01-08 15:06:59.999999999;2026-01-09 09:07:00.000000000;1,0;;2,0;2026-01-09 09:07:00.000000000;;AHP_APRENDIZAGEM_ESPECIALIZACAO_WORKLOAD;;;;;CONCLUIDA;True;0,9310839959587732;1,0;1,0;0,5587449933244326;0,6586441863669917;0,1851740071976712;0,08726580239411026
Regulatório;Análise regulatória de modelos inovadores (open finance, cripto, tokenização);;Davi;2026-01-06 09:06:00;2026-01-06 09:06:00.000000000;2026-01-07 09:05:59.999999999;3,0;;8,0;2026-01-07 09:05:59.999999999;;AHP_APRENDIZAGEM_ESPECIALIZACAO_WORKLOAD;;;;;CONCLUIDA;True;1,0;1,0;1,0;1,0;0,6586441863669917;0,1851740071976712;0,1561818064353371
Contratos;Contrato de Transferência de Tecnologia;;Abel;2026-01-06 09:07:00;2026-01-08 09:00:59.999999999;2026-01-09 09:00:59.999999999;3,0;;8,0;2026-01-09 09:00:59.999999999;;AHP_APRENDIZAGEM_ESPECIALIZACAO_WORKLOAD;;;;;CONCLUIDA;True;0,9155526279464041;0,9592269511575319;0,9577311337824523;0,6813627254564686;0,6317892547864427;0,1773469118604656;0,10641646129949592
Concorrencial;Gestão de canal de dúvidas;;Caim;2026-01-06 09:08:00;2026-01-09 11:01:00.000000000;2026-01-09 13:01:00.000000000;1,0;;2,0;2026-01-09 13:01:00.000000000;;AHP_APRENDIZAGEM_ESPECIALIZACAO_WORKLOAD;;;;;CONCLUIDA;True;0,9189607933874122;1,0;1,0;0,48112261945094115;0,6586441863669917;0,1851740071976712;0,07514259982274925
Regulatório;Elaboração de pareceres e notas técnicas internas;;Davi;2026-01-06 09:09:00;2026-01-07 09:05:59.999999999;2026-01-08 09:05:59.999999999;3,0;;8,0;2026-01-08 09:05:59.999999999;;AHP_APRENDIZAGEM_ESPECIALIZACAO_WORKLOAD;;;;;CONCLUIDA;True;0,9751006946299958;1,0;1,0;0,8405748663157309;0,6586441863669917;0,1851740071976712;0,13128250106533285
